PSize;OD;thk;BendAngle;BendRadius
DN15;21.34;3.73;90;38
DN20;26.67;3.91;90;38
DN25;33.4;4.55;90;38
DN32;42.16;4.85;90;48
DN40;48.26;5.08;90;57
DN50;60.32;5.54;90;76
DN65;73.02;7.01;90;95
DN80;88.9;7.62;90;114
DN90;101.6;8.08;90;133
DN100;114.3;8.56;90;152
DN125;141.3;9.52;90;190
DN150;168.27;10.97;90;229
DN200;219.07;12.7;90;305
DN250;273.05;12.7;90;381
DN300;323.85;12.7;90;457
DN350;355.6;12.7;90;533
DN400;406.4;12.7;90;610
DN450;457.2;12.7;90;686
DN500;508;12.7;90;762
DN550;558.8;12.7;90;838
DN600;609.6;12.7;90;914
